Sport,League,Team,Location,Stadium,Founded,Joined
Soccer,NWSL,Angel City FC,"Los Angeles, California",BMO Stadium,2020,2022
Soccer,NWSL,Bay FC,"San Jose, California",PayPal Park,2023,2024
Soccer,NWSL,Chicago Stars FC,"Bridgeview, Illinois",SeatGeek Stadium,2006,2013
Soccer,NWSL,Gotham FC,"Harrison, New Jersey",Sports Illustrated Stadium,2007,2013
Soccer,NWSL,Houston Dash,"Houston, Texas",Shell Energy Stadium,2013,2014
Soccer,NWSL,Kansas City Current,"Kansas City, Missouri",CPKC Stadium,2020,2021
Soccer,NWSL,North Carolina Courage,"Cary, North Carolina",WakeMed Soccer Park,2017,2017
Soccer,NWSL,Orlando Pride,"Orlando, Florida",Inter&Co Stadium,2015,2016
Soccer,NWSL,Portland Thorns FC,"Portland, Oregon",Providence Park,2012,2013
Soccer,NWSL,Racing Louisville FC,"Louisville, Kentucky",Lynn Family Stadium,2019,2021
Soccer,NWSL,San Diego Wave FC,"San Diego, California",Snapdragon Stadium,2021,2022
Soccer,NWSL,Seattle Reign FC,"Seattle, Washington",Lumen Field,2012,2013
Soccer,NWSL,Utah Royals,"Sandy, Utah",America First Field,2017,2018
Soccer,NWSL,Washington Spirit,"Washington, D.C.",Audi Field,2012,2013
Soccer,USLS,Boise Pro Soccer,"Garden City, ID",Expo Idaho,2024,2027
Soccer,USLS,Brooklyn FC,"New York City, NY",Maimonides Park,2023,2024
Soccer,USLS,Buffalo Pro Soccer,"Buffalo, NY",Queen City Field,2024,TBD
Soccer,USLS,Carolina Ascent FC,"Charlotte, NC",American Legion Memorial Stadium,2023,2024
Soccer,USLS,Chattanooga Red Wolves SC,"East Ridge, TN",CHI Memorial Stadium,2019,TBD
Soccer,USLS,Dallas Trinity FC,"Dallas, TX",Cotton Bowl,2023,2024
Soccer,USLS,DC Power FC,"Washington, D.C.",Audi Field,2024,2024
Soccer,USLS,Fort Lauderdale United FC,"Fort Lauderdale, FL",Beyond Bancard Field,2023,2024
Soccer,USLS,Forward Madison FC,"Madison, WI",Breese Stevens Field,,TBD
Soccer,USLS,Indy Eleven,"Indianapolis, IN",Eleven Park,2022,TBD
Soccer,USLS,Lexington SC,"Lexington, KY",Lexington SC Stadium,2021,2024
Soccer,USLS,North Jersey Pro Soccer,"Paterson, NJ",Hinchliffe Stadium,2025,2027
Soccer,USLS,Oakland Soul SC,"Oakland, CA",Oakland Coliseum,2022,TBD
Soccer,USLS,Ozark United FC,"Rogers, AR",Ozark United Stadium,2023,2027
Soccer,USLS,Spokane Zephyr FC,"Spokane, WA",One Spokane Stadium,2023,2024
Soccer,USLS,Sporting Club Jacksonville,"Jacksonville, FL",Hodges Stadium,2023,2025
Soccer,USLS,Tampa Bay Sun FC,"Tampa, FL",Riverfront Stadium,2023,2024
Soccer,USLS,USL Palm Beach,"Palm Beach, FL",TBD,2023,TBD
Soccer,USLW,AC Connecticut,"Newtown, Connecticut",Trinity Health Stadium,2011,2022
Soccer,USLW,Academica SC,"Turlock, California",Academica Field,2022,2023
Soccer,USLW,AFC Ann Arbor,"Ann Arbor, Michigan",Hollway Field,2014,2022
Soccer,USLW,AHFC Royals,"Houston, Texas",Campbell Road Sports Park,2017,2024
Soccer,USLW,Albion SC Colorado,"Lafayette, Colorado",TBD,2021,2024
Soccer,USLW,AMSG FC,"Huntington Beach, California",Boswell Stadium,2021,2025
Soccer,USLW,Annapolis Blues FC,"Annapolis, Maryland",Navy-Marine Corps Memorial Stadium,2024,2025
Soccer,USLW,Asheville City SC,"Asheville, North Carolina",Greenwood Field,2021,2022
Soccer,USLW,Bigfoot FC,"Maple Valley, Washington",TBD,2024,2025
Soccer,USLW,Birmingham Legion WFC,"Birmingham, Alabama",Dunnavant Valley Fields – Field Four,2023,2023
